bitmap_index,sx,sy,sw,sh,ox,oy
0,0,0,301,492,-46.5,0
0,301,0,296,497,-46,-3
0,597,0,293,497,-44,0
0,890,0,297,493,-38.5,1.5
0,1187,0,301,508,-29,4
0,1488,0,304,507,-21,6.5
0,0,497,310,501,-14,2
0,310,497,299,505,-9,8
0,609,497,300,511,-4.5,7
0,909,508,294,499,6,2.5
0,1203,508,293,496,6.5,3
0,1496,507,293,498,10,1.5
0,0,998,293,498,6.5,1.5
0,293,1002,299,499,7,3
0,592,1008,319,548,0,0
0,911,1007,311,545,-0.5,-1
0,1222,1005,310,545,-2.5,-1
0,1532,1005,308,544,-9.5,-0.5
0,0,1501,307,541,-9,-4
1,0,0,304,544,-13,-1.5
1,304,0,310,540,-10.5,-2.5
1,614,0,326,539,-2.5,-5
1,940,0,308,546,-2.5,1.5
1,1248,0,306,552,-5.5,1.5
1,1554,0,309,545,-12.5,-4
1,0,544,321,546,-17,-2.5
1,321,540,333,547,-20,-2
1,654,546,332,546,-21.5,-1
1,986,552,389,552,-36.5,-4
1,1375,552,314,552,-2.5,-1.5
1,1689,545,303,552,-1,-1
1,0,1090,299,555,-5,1
1,299,1090,297,552,-2,-2.5
1,596,1092,299,560,1,1
1,895,1104,312,556,-7.5,2.5
1,1207,1104,335,555,-12,-1
1,1542,1104,304,562,-12.5,3.5
2,0,0,284,568,-12.5,4
2,284,0,287,563,-13,2
2,571,0,299,559,-18,0
2,870,0,304,556,-18.5,-1.5
2,1174,0,320,551,-23.5,-2
2,0,568,1324,176,-30,9
2,0,745,1089,158,-30,22
